NAME	GENE	SCORE	X	Y	ATAN2	cluster
YDL018C	YDL018C	4.596	0.125	-0.99	-1.445198325	G1
YPL209C	IPL1	1.864	0.124	-0.99	-1.4461927	G1
YKL089W	MIF2	1.963	0.117	-0.99	-1.453160156	G1
YIL141W	YIL141W	6.591	0.111	-0.99	-1.459141434	G1
YER170W	ADK2	2.612	0.099	-0.99	-1.471127674	G1
YER095W	RAD51	6.028	0.097	-0.99	-1.473128272	G1
YMR199W	CLN1	5.364	0.095	-0.99	-1.475129654	G1
YDR279W	YDR279W	2.199	0.094	-0.99	-1.476130634	G1
YGL195W	GCN1	1.584	0.077	-0.99	-1.493174818	G1
YHR110W	YHR110W	5.152	0.068	-0.99	-1.502217172	G1
YJR043C	POL32	1.864	0.066	-0.99	-1.504228163	G1
YOL007C	YOL007C	10.52	0.063	-0.99	-1.507245655	G1
YLL022C	YLL022C	4.368	0.062	-0.99	-1.508251746	G1
YOL019W	YOL019W	4.819	0.062	-0.99	-1.508251746	G1
YOL090W	MSH2	8.095	0.061	-0.99	-1.509257964	G1
YJR154W	YJR154W	1.512	0.056	-0.99	-1.514290885	G1
YLR231C	YLR231C	3.395	0.055	-0.99	-1.515297822	G1
YIL132C	YIL132C	2.132	0.047	-0.99	-1.523357198	G1
YLR135W	YLR135W	1.34	0.034	-1	-1.536809419	G1
YNL300W	YNL300W	5.342	0.03	-0.99	-1.540502567	G1
YJR006W	HYS2	2.271	0.029	-0.99	-1.541511772	G1
YJL018W	YJL018W	2.24	0.028	-1	-1.542803641	G1
YDL101C	DUN1	3.29	0.01	-1	-1.56079666	G1
YKR012C	YKR012C	6.98	0.007	-1	-1.563796441	G1
YJR148W	BAT2	3.07	0.004	-1	-1.566796348	G1
YKR091W	YKR091W	2.21	0.003	-1	-1.567796336	G1
YLR121C	YLR121C	6.27	0.003	-1	-1.567796336	G1
YDL095W	PMT1	1.52	0	-1	-1.570796327	G1
YDL093W	PMT5	2.06	0	-1	-1.570796327	G1
YLR234W	TOP3	2.34	0	-1	-1.570796327	G1
YKR090W	YKR090W	2.05	0	-1	-1.570796327	G1
YLR050C	YLR050C	1.63	0	-1	-1.570796327	G1
YIL140W	SRO4	9.661	-0.01	-0.99	-1.580896993	G1
